Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,PWA-1,10044,Epic,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Highest,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/1/2026 10:43,4/1/2026 10:43,,,PWA RELEASE 1,4/20/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@9a4b5ef,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0002f:,,,PWA Sprint 1,4/1/2026 0:00,,,,,,,,,,,,,,To Do,4/1/2026 10:43
WRITE INTEGRATION TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,PWA-45,10179,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:14,4/2/2026 10:14,4/2/2026 10:36,,PWA RELEASE 1,4/4/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69498a73,,,,,,,,,,,,,,,,0|i000cf:,,,PWA Sprint 1,4/9/2026 0:00,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/2/2026 10:14
WRITE INTEGRATION TEST CASES FOR THIRD-PARTY SERVICE INTEGRATION ON DASHBOARD,PWA-69,10227,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:36,4/2/2026 10:36,,,,,0,"Document integration test cases to ensure that third-party services (e.g., analytics, chat, payment widgets) integrated into the dashboard/homepage function as expected and handle failures gracefully.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e84dbd,,,,,,,,,,,,,,,,0|i000hr:,,,PWA Sprint 1,,,,,,,,,,,,10179,PWA-45,WRITE INTEGRATION TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,To Do,4/2/2026 10:36
WRITE INTEGRATION TEST CASES FOR DASHBOARD DATA FLOW BETWEEN COMPONENTS,PWA-70,10229,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:37,4/2/2026 10:37,,,,,0,"Design and document integration test cases to verify correct data flow and synchronization between different components of the dashboard/homepage module (e.g., widgets, charts, notifications).",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61f43b41,,,,,,,,,,,,,,,,0|i000hz:,,,PWA Sprint 1,,,,,,,,,,,,10179,PWA-45,WRITE INTEGRATION TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,To Do,4/2/2026 10:37
WRITE INTEGRATION TEST CASES FOR DASHBOARD AND USER PROFILE MODULE INTERACTIONS,PWA-71,10231,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:37,4/2/2026 10:37,,,,,0,"Develop integration test cases to validate seamless interaction between the dashboard/homepage and the user profile management module, such as displaying user-specific data and updating profile information.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e0dec75,,,,,,,,,,,,,,,,0|i000i7:,,,PWA Sprint 1,,,,,,,,,,,,10179,PWA-45,WRITE INTEGRATION TEST CASE FOR DASHBOARD / HOMEPAGE MODULE,To Do,4/2/2026 10:37
WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,PWA-46,10181,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:16,4/2/2026 10:17,4/2/2026 10:17,,PWA RELEASE 1,4/10/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@668eeb71,,,,,,,,,,,,,,,,0|i000cn:,,,PWA Sprint 1,4/9/2026 0:00,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/2/2026 10:16
WRITE TEST CASE FOR FULL NAME TEXT FIELD,PWA-47,10183,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:17,4/2/2026 10:17,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@73c73ef9,,,,,,,,,,,,,,,,0|i000cv:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:17
WRITE TEST CASE FOR EMAIL TEXT FIELD,PWA-48,10185,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:18,4/2/2026 10:18,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f6ba51a,,,,,,,,,,,,,,,,0|i000d3:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:18
WRITE TEST CASE FOR MOBILE NUMBER FIELD,PWA-49,10187,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:18,4/2/2026 10:18,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50bdf8c5,,,,,,,,,,,,,,,,0|i000db:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:18
WRITE TEST CASE FOR CURRENT PASSWROD,PWA-50,10189,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:19,4/2/2026 10:19,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@42357341,,,,,,,,,,,,,,,,0|i000dj:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:19
WRITE TEST CASE FOR NEW PASSWORD,PWA-51,10191,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:19,4/2/2026 10:19,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2245303a,,,,,,,,,,,,,,,,0|i000dr:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:19
WRITE TEST CASE FOR CONFIRM PASSWORD,PWA-52,10193,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:20,4/2/2026 10:20,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@674014db,,,,,,,,,,,,,,,,0|i000dz:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:20
WRITE TEST CASE FOR UPDATE BUTTON,PWA-53,10195,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:20,4/2/2026 10:20,,,,,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7604ee,,,,,,,,,,,,,,,,0|i000e7:,,,PWA Sprint 1,,,,,,,,,,,,10181,PWA-46,WRITE FUNCTIONALITY TEST CASE FOR PROFILE MANAGMENT MODULE,To Do,4/2/2026 10:20
WRITING INTEGRATION TEST CASE FOR PROFILE MANAGEMENT MODULE,PWA-54,10197,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:23,4/2/2026 10:23,4/2/2026 10:38,,PWA RELEASE 1,4/11/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@279c8c2d,,,,,,,,,,,,,,,,0|i000ef:,,,PWA Sprint 1,4/9/2026 0:00,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/2/2026 10:23
WRITE INTEGRATION TEST CASES FOR PROFILE AND DASHBOARD MODULE INTERACTIONS,PWA-72,10233,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:38,4/2/2026 10:38,,,,,0,"Develop integration test cases to ensure that updates in the profile management module are accurately reflected in the dashboard or homepage module, and vice versa.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7e2f0c17,,,,,,,,,,,,,,,,0|i000if:,,,PWA Sprint 1,,,,,,,,,,,,10197,PWA-54,WRITING INTEGRATION TEST CASE FOR PROFILE MANAGEMENT MODULE,To Do,4/2/2026 10:38
WRITE INTEGRATION TEST CASES FOR PROFILE DATA SYNCHRONIZATION WITH BACKEND,PWA-73,10235,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:38,4/2/2026 10:38,,,,,0,Create integration test cases to ensure that changes made in the profile management module are correctly synchronized with the backend services and databases.,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@326b3b61,,,,,,,,,,,,,,,,0|i000in:,,,PWA Sprint 1,,,,,,,,,,,,10197,PWA-54,WRITING INTEGRATION TEST CASE FOR PROFILE MANAGEMENT MODULE,To Do,4/2/2026 10:38
WRITING SYSTEM TEST CASE FOR PROFILE MANAGEMENT MODULE,PWA-55,10199,Task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:24,4/2/2026 10:24,4/2/2026 10:39,,PWA RELEASE 1,4/10/2026 0:00,0,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@375a016a,,,,,,,,,,,,,,,,0|i000en:,,,PWA Sprint 1,4/9/2026 0:00,,,,,,,,,,,10049,PWA-5,DASHBOARD AND PROFILE MANAGMENT,To Do,4/2/2026 10:24
Write system test cases for access control and permissions in profile management,PWA-74,10237,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:40,4/2/2026 10:40,,,,,0,"Develop system test cases to ensure that only authorized users can view or modify profile information, and that permission boundaries are enforced throughout the module.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74883fb5,,,,,,,,,,,,,,,,0|i000iv:,,,PWA Sprint 1,,,,,,,,,,,,10199,PWA-55,WRITING SYSTEM TEST CASE FOR PROFILE MANAGEMENT MODULE,To Do,4/2/2026 10:40
Write system test cases for error handling and validation in profile management,PWA-75,10239,Sub-task,To Do,PWA,Physics Wallah Application,software,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,Medium,,,,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,4/2/2026 10:40,4/2/2026 10:40,,,,,0,"Develop system test cases to verify that the Profile Management module handles invalid inputs, system errors, and edge cases gracefully, providing appropriate feedback to users.",,Saurabh Mishra,712020:d1eaede7-b295-4ddd-9152-244ea68a9c0d,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4470bbfe,,,,,,,,,,,,,,,,0|i000j3:,,,PWA Sprint 1,,,,,,,,,,,,10199,PWA-55,WRITING SYSTEM TEST CASE FOR PROFILE MANAGEMENT MODULE,To Do,4/2/2026 10:40
